Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2009.03,Other depository institutions,222,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,12934
2009.03,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,11379
2009.03,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
2009.03,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400,..
2009.03,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1556
2009.03,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Other depository institutions,222,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2009.03,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2009.03,Other depository institutions,222,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,285
2009.03,Other depository institutions,222,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,269
2009.03,Other depository institutions,222,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,16
2009.03,Other depository institutions,222,Closing balance net worth,LE00000,B900000,0
2009.03,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000,12934
2009.03,Investment funds,231,Closing balance total assets,LE00000,A000000,39663
2009.03,Investment funds,231,Financial assets Closing balance Total financial assets,LE00000,AFA0000,39528
2009.03,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200,8975
2009.03,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300,12602
2009.03,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400,0
2009.03,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,17643
2009.03,Investment funds,231,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Investment funds,231,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2009.03,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,307
2009.03,Investment funds,231,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,39663
2009.03,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2009.03,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2009.03,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,39663
2009.03,Investment funds,231,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Investment funds,231,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2009.03,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2009.03,Investment funds,231,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,135
2009.03,Investment funds,231,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,135
2009.03,Investment funds,231,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,0
2009.03,Investment funds,231,Closing balance net worth,LE00000,B900000,-0
2009.03,Investment funds,231,Closing balance total liabilities and net worth,LE00000,L000000,39663
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total assets,LE00000,A000000,82853
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance Total financial assets,LE00000,AFA0000,82129
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance currency and deposits,LE00000,AFA0200,986
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance debt securities,LE00000,AFA0300,52300
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance loans,LE00000,AFA0400,21181
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,2830
2009.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance financial derivatives,LE00000,AFA0700,475
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,4357
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,93756
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance debt securities,LE00000,AFL0300,54938
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance loans,LE00000,AFL0400,26076
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,11987
2009.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,372
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,384
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,724
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,700
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,24
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance net worth,LE00000,B900000,-10904
2009.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total liabilities and net worth,LE00000,L000000,82853
2009.03,Insurance corporations,251,Closing balance total assets,LE00000,A000000,22584
2009.03,Insurance corporations,251,Financial assets Closing balance Total financial assets,LE00000,AFA0000,21217
2009.03,Insurance corporations,251,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Insurance corporations,251,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
2009.03,Insurance corporations,251,Financial assets Closing balance debt securities,LE00000,AFA0300,C
2009.03,Insurance corporations,251,Financial assets Closing balance loans,LE00000,AFA0400,C
2009.03,Insurance corporations,251,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,6287
2009.03,Insurance corporations,251,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,2076
2009.03,Insurance corporations,251,Financial assets Closing balance financial derivatives,LE00000,AFA0700,923
2009.03,Insurance corporations,251,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3096
2009.03,Insurance corporations,251,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,22567
2009.03,Insurance corporations,251,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Insurance corporations,251,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Insurance corporations,251,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
2009.03,Insurance corporations,251,Financial liabilities Closing balance loans,LE00000,AFL0400,C
2009.03,Insurance corporations,251,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,11119
2009.03,Insurance corporations,251,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,9643
2009.03,Insurance corporations,251,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,77
2009.03,Insurance corporations,251,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1074
2009.03,Insurance corporations,251,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,1368
2009.03,Insurance corporations,251,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,1014
2009.03,Insurance corporations,251,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,354
2009.03,Insurance corporations,251,Closing balance net worth,LE00000,B900000,18
2009.03,Insurance corporations,251,Closing balance total liabilities and net worth,LE00000,L000000,22584
2009.03,Pension funds,261,Closing balance total assets,LE00000,A000000,29670
2009.03,Pension funds,261,Financial assets Closing balance Total financial assets,LE00000,AFA0000,29544
2009.03,Pension funds,261,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Pension funds,261,Financial assets Closing balance currency and deposits,LE00000,AFA0200,802
